IDPLAYER,PLAYERNAME,BIRTHDATE,FIRSTNAME,LASTNAME,TEAM,LG,POS,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,RETROID,BREFID,NFBCID,NFBCNAME,ESPNID,ESPNNAME,KFFLNAME,DAVENPORTID,BPID,YAHOOID,YAHOONAME,MSTRBLLNAME,BATS,THROWS,FANTPROSNAME,LASTCOMMAFIRST,ROTOWIREID,FANDUELNAME,FANDUELID,DRAFTKINGSNAME,OTTONEUID,HQID
smithca02,Carson Smith,"Oct 19, 1989",Carson,Smith,BOS,AL,P,13172,Carson Smith,605476,Carson Smith,2036351,Carson Smith,smitc004,smithca02,9810,Carson Smith,32628,Carson Smith,,,70812,9810,Carson Smith,"Smith, Carson",R,R,Carson Smith,"Smith, Carson",,Carson Smith,38065,Carson Smith,18405,4500
smithdo01,Dominic Smith,"Jun 15, 1995",Dominic,Smith,NYM,NL,1B,sa737502,Dominic Smith,642086,Dominic Smith,,,,smithdo01,,,33218,Dominic Smith,,,,,,,L,L,,"Smith, Dominic",,,,,18300,
smithjo05,Joe Smith,"Mar 22, 1984",Joe,Smith,CHC,NL,P,3281,Joe Smith,501925,Joe Smith,1205585,Joe Smith,smitj002,smithjo05,7997,Joe Smith,28729,Joe Smith,,SMITH19840322A,51129,7997,Joe Smith,"Smith, Joe",R,R,Joe Smith,"Smith, Joe",9319,Joe Smith,5230,Joe Smith,7127,2557
smithma05,Mallex Smith,"May 6, 1993",Mallex,Smith,ATL,NL,OF,13608,Mallex Smith,605480,Mallex Smith,2049626,,,smithma05,10117,,32933,Mallex Smith,,,70851,,,"Smith, Mallex",R,R,,"Smith, Mallex",,Mallex Smith,38842,"Smith, Mallex",,
smithse01,Seth Smith,"Sep 30, 1982",Seth,Smith,SEA,AL,OF,7331,Seth Smith,452234,Seth Smith,549985,Seth Smith,smits002,smithse01,8144,Seth Smith,28920,Seth Smith,Seth Smith,SMITH19820930A,48892,8144,Seth Smith,"Smith, Seth",L,L,Seth Smith,"Smith, Seth",8279,Seth Smith,5086,Seth Smith,1155,2801
smithwi04,Will Smith,"Jul 10, 1989",Will,Smith,SF,NL,P,8048,Will Smith,519293,Will Smith,1666825,Will Smith,smitw002,smithwi04,9193,Will Smith,31549,Will Smith,,SMITH19890710A,58281,9193,Will Smith,"Smith, Will",R,L,Will Smith,"Smith, Will",10906,William Smith,13271,Will Smith,16675,4111
smoakju01,Justin Smoak,"Dec 5, 1986",Justin,Smoak,TOR,AL,1B,9054,Justin Smoak,475253,Justin Smoak,1630092,Justin Smoak,smoaj001,smoakju01,8653,Justin Smoak,30175,Justin Smoak,Justin Smoak,SMOAK19861205A,58692,8653,Justin Smoak,"Smoak, Justin",B,L,Justin Smoak,"Smoak, Justin",10459,Justin Smoak,11443,Justin Smoak,5434,
smolija01,Jake Smolinski,"Feb 9, 1989",Jake,Smolinski,OAK,AL,OF,5408,Jake Smolinski,519295,Jake Smolinski,1960257,Jake Smolinski,smolj002,smolija01,9760,Jake Smolinski,31558,Jake Smolinski,,SMOLINSKI19890209A,56792,9760,Jake Smolinski,"Smolinski, Jake",R,R,Jake Smolinski,"Smolinski, Jake",,Jake Smolinski,14088,Jake Smolinski,4999,
smylydr01,Drew Smyly,"Jun 13, 1989",Drew,Smyly,TB,AL,P,11760,Drew Smyly,592767,Drew Smyly,1840445,Drew Smyly,smyld001,smylydr01,9140,Drew Smyly,31816,Drew Smyly,,SMYLY19890613A,68688,9140,Drew Smyly,"Smyly, Drew",L,L,Drew Smyly,"Smyly, Drew",11506,Drew Smyly,17087,Drew Smyly,18146,4057
snellbl01,Blake Snell,"Dec 4, 1992",Blake,Snell,TB,AL,P,13543,Blake Snell,605483,Blake Snell,2006996,,,snellbl01,10148,,33748,Blake Snell,,,70271,,,"Snell, Blake",L,L,Blake Snell,"Snell, Blake",,Blake Snell,68488,Blake Snell,18460,
snellia01,Ian Snell,"Oct 30, 1981",Ian,Snell,N/A,N/A,P,2227,Ian Snell,430636,Ian Snell,448969,Ian Snell,sneli001,snellia01,,,,,,OQUENDO19811030A,45377,,,"Snell, Ian",R,R,,"Snell, Ian",,,,,12186,
snidetr01,Travis Snider,"Feb 2, 1988",Travis,Snider,KC,AL,OF,2830,Travis Snider,501983,Travis Snider,1232132,Travis Snider,snidt001,snidetr01,8304,Travis Snider,29189,Travis Snider,Travis Snider,SNIDER19880202A,50073,8304,Travis Snider,"Snider, Travis",L,L,Travis Snider,"Snider, Travis",9286,Travis Snider,5565,Travis Snider,3613,
snydebr03,Brandon Snyder,"Nov 23, 1986",Brandon,Snyder,ATL,NL,3B,9856,Brandon Snyder,474319,Brandon Snyder,1661347,Brandon Snyder,snydb003,snydebr03,8624,Brandon Snyder,30124,Brandon Snyder,,SNYDER19861123A,48762,8624,Brandon Snyder,"Snyder, Brandon",R,R,,"Snyder, Brandon",,,,,2526,
snydech02,Chris Snyder,"Feb 12, 1981",Chris,Snyder,N/A,N/A,C,4606,Chris Snyder,430965,Chris Snyder,392209,Chris Snyder,snydc002,snydech02,7409,Chris Snyder,6070,Chris Snyder,,SNYDER19810212A,43032,7409,Chris Snyder,"Snyder, Chris",R,R,,"Snyder, Chris",,,,,8758,
sogarer01,Eric Sogard,"May 22, 1986",Eric,Sogard,OAK,AL,2B,7927,Eric Sogard,519299,Eric Sogard,1600755,Eric Sogard,sogae001,sogarer01,8828,Eric Sogard,29732,Eric Sogard,Eric Sogard,SOGARD19860522A,57552,8828,Eric Sogard,"Sogard, Eric",L,R,Eric Sogard,"Sogard, Eric",9904,Eric Sogard,12593,Eric Sogard,5419,
solando01,Donovan Solano,"Dec 17, 1987",Donovan,Solano,NYY,AL,2B,8623,Donovan Solano,456781,Donovan Solano,1666544,Donovan Solano,solad001,solando01,9190,Donovan Solano,29703,Donovan Solano,Donovan Solano,SOLANO19871217A,48772,9190,Donovan Solano,"Solano, Donovan",R,R,Donovan Solano,"Solano, Donovan",11367,Donovan Solano,13412,Donovan Solano,2885,
solarya01,Yangervis Solarte,"Jul 7, 1987",Yangervis,Solarte,SD,NL,3B,5352,Yangervis Solarte,500208,Yangervis Solarte,1741691,Yangervis Solarte,solay001,solarya01,9657,Yangervis Solarte,30898,Yangervis Solarte,,SOLARTE19870707A,51557,9657,Yangervis Solarte,"Solarte, Yangervis",B,R,Yangervis Solarte,"Solarte, Yangervis",12284,Yangervis Solarte,13710,Yangervis Solarte,4931,3961
solerjo01,Jorge Soler,"Feb 25, 1992",Jorge,Soler,CHC,NL,OF,14221,Jorge Soler,624585,Jorge Soler,1988873,Jorge Soler,solej001,solerjo01,9228,Jorge Soler,32558,Jorge Soler,,SOLER19920225A,101657,9228,Jorge Soler,"Soler, Jorge",R,R,Jorge Soler,"Soler, Jorge",12355,Jorge Soler,23107,Jorge Soler,18162,4721
solisal01,Ali Solis,"Sep 29, 1987",Ali,Solis,LAD,NL,C,8848,Ali Solis,455378,Ali Solis,1946524,Ali Solis,solia001,solisal01,9304,Ali Solis,32114,Ali Solis,,SOLIS19870929A,52362,9304,Ali Solis,"Solis, Ali",R,R,,"Solis, Ali",,,,,16657,
solissa01,Sammy Solis,"Aug 10, 1988",Sammy,Solis,WAS,NL,P,11457,Sammy Solis,519301,Sammy Solis,,,,solissa01,,,31041,Sammy Solis,,,,,,,R,L,,"Solis, Sammy",,,,,,
soriaal01,Alfonso Soriano,"Jan 7, 1976",Alfonso,Soriano,N/A,N/A,OF,847,Alfonso Soriano,150093,Alfonso Soriano,127572,Alfonso Soriano,soria001,soriaal01,6154,Alfonso Soriano,3993,Alfonso Soriano,Alfonso Soriano,SORIANO19780107A,1608,6154,Alfonso Soriano,"Soriano, Alfonso",R,R,,"Soriano, Alfonso",,,,,8775,
soriajo01,Joakim Soria,"May 18, 1984",Joakim,Soria,KC,AL,P,6941,Joakim Soria,465657,Joakim Soria,1182834,Joakim Soria,sorij001,soriajo01,7964,Joakim Soria,28688,Joakim Soria,,SORIA19840518A,46711,7964,Joakim Soria,"Soria, Joakim",R,R,Joakim Soria,"Soria, Joakim",9580,,,Joakim Soria,15273,2547
soriara01,Rafael Soriano,"Dec 19, 1979",Rafael,Soriano,N/A,N/A,P,1100,Rafael Soriano,400089,Rafael Soriano,210750,Rafael Soriano,sorir001,soriara01,6662,Rafael Soriano,4600,Rafael Soriano,,SORIANO19791219A,1182,6662,Rafael Soriano,"Soriano, Rafael",R,R,Rafael Soriano,"Soriano, Rafael",,,,Rafael Soriano,7964,
sotoge01,Geovany Soto,"Jan 20, 1983",Geovany,Soto,LAA,AL,C,3707,Geovany Soto,434567,Geovany Soto,392194,Geovany Soto,sotog001,sotoge01,7662,Geovany Soto,6428,Geovany Soto,Geovany Soto,SOTO19830120A,43102,7662,Geovany Soto,"Soto, Geovany",R,R,Geovany Soto,"Soto, Geovany",8487,Geovany Soto,5052,Geovany Soto,503,
souzast01,Steven Souza,"Apr 24, 1989",Steven,Souza,TB,AL,OF,5667,Steven Souza Jr.,519306,Steven Souza Jr.,1741011,Steven Souza,souzs001,souzast01,9671,Steven Souza Jr.,30632,Steven Souza Jr.,,SOUZA19890424A,56806,9671,Steven Souza,"Souza, Steven",R,R,Steven Souza,"Souza, Steven",,Steven Souza Jr.,38249,Steven Souza Jr.,5828,4584
spande01,Denard Span,"Feb 27, 1984",Denard,Span,SF,NL,OF,8347,Denard Span,452655,Denard Span,549986,Denard Span,spand001,spande01,8213,Denard Span,29087,Denard Span,Denard Span,SPAN19840227A,46626,8213,Denard Span,"Span, Denard",L,L,Denard Span,"Span, Denard",7288,Denard Span,5204,Denard Span,3153,2855
spangco01,Cory Spangenberg,"Mar 16, 1991",Cory,Spangenberg,SD,NL,2B,12294,Cory Spangenberg,605486,Cory Spangenberg,1846231,Cory Spangenberg,spanc001,spangco01,9102,Cory Spangenberg,32169,Cory Spangenberg,,SPANGENBERG19910316A,69578,9102,Cory Spangenberg,"Spangenberg, Cory",L,R,Cory Spangenberg,"Spangenberg, Cory",,Cory Spangenberg,16949,Cory Spangenberg,18108,4739
spilbry01,Ryan Spilborghs,"Sep 5, 1979",Ryan,Spilborghs,N/A,N/A,OF,4521,Ryan Spilborghs,448676,Ryan Spilborghs,548829,Ryan Spilborghs,spilr001,spilbry01,,,,,,SPILBORGH19790905A,43144,,,"Spilborghs, Ryan",R,R,,"Spilborghs, Ryan",,,,,1157,
springe01,George Springer,"Sep 19, 1989",George,Springer,HOU,AL,OF,12856,George Springer,543807,George Springer,1894629,George Springer,sprig001,springe01,9339,George Springer,32078,George Springer,George Springer,SPRINGER19890919A,65992,9339,George Springer,"Springer, George",R,R,George Springer,"Springer, George",12130,George Springer,16983,George Springer,18124,4363
stammcr01,Craig Stammen,"Mar 9, 1984",Craig,Stammen,N/A,N/A,P,7274,Craig Stammen,489334,Craig Stammen,1671002,Craig Stammen,stamc001,stammcr01,8480,Craig Stammen,30361,Craig Stammen,,STAMMEN19840309A,46755,8480,Craig Stammen,"Stammen, Craig",R,R,,"Stammen, Craig",10547,Craig Stammen,5069,Craig Stammen,2082,
stantmi03,Giancarlo Stanton,"Nov 8, 1989",Giancarlo,Stanton,MIA,NL,OF,4949,Giancarlo Stanton,519317,Giancarlo Stanton,1630093,Giancarlo Stanton,stanm003,stantmi03,8634,Giancarlo Stanton,30583,Giancarlo Stanton,Giancarlo Stanton,STANTON19891108A,57556,8634,Giancarlo Stanton,"Stanton, Giancarlo",R,R,Giancarlo Stanton,"Stanton, Giancarlo",9901,Giancarlo Stanton,12302,Giancarlo Stanton,5201,3373
starlbu01,Bubba Starling,"Aug 3, 1992",Bubba,Starling,KC,AL,OF,sa597751,Bubba Starling,605490,Bubba Starling,1894624,,,,9119,,32152,Bubba Starling,,,70754,,,"Starling, Bubba",R,R,,"Starling, Bubba",,,,,18119,
stassma01,Max Stassi,"Mar 15, 1991",Max,Stassi,HOU,AL,C,10059,Max Stassi,545358,Max Stassi,1727686,,,stassma01,9496,,30429,Max Stassi,,,59431,,,,R,R,,"Stassi, Max",,Max Stassi,13436,Max Stassi,8542,
staufti01,Tim Stauffer,"Jun 2, 1982",Tim,Stauffer,N/A,N/A,P,6432,Tim Stauffer,431162,Tim Stauffer,484529,Tim Stauffer,staut001,staufti01,7500,Tim Stauffer,6207,Tim Stauffer,,STAUFFER19820602A,45617,7500,Tim Stauffer,"Stauffer, Tim",R,R,,"Stauffer, Tim",,Tim Stauffer,5172,,920,
stephro01,Robert Stephenson,"Feb 24, 1993",Robert,Stephenson,CIN,NL,P,13594,Robert Stephenson,596112,Robert Stephenson,1894642,,,stephro01,9563,,32134,Robert Stephenson,,,70762,,,"Stephenson, Robert",R,R,,"Stephenson, Robert",,Robert Stephenson,52152,Robert Stephenson,,
stewabr01,Brock Stewart,"Oct 3, 1991",Brock,Stewart,LAD,NL,P,16727,Brock Stewart,592779,Brock Stewart,,,,stewabr01,,,35997,Brock Stewart,,,,,,,L,R,,"Stewart, Brock",,,,,,
stewach01,Chris Stewart,"Feb 19, 1982",Chris,Stewart,PIT,NL,C,3878,Chris Stewart,455755,Chris Stewart,489806,Chris Stewart,stewc001,stewach01,7857,Chris Stewart,28577,Chris Stewart,Chris Stewart,STEWART19820219A,43258,7857,Chris Stewart,"Stewart, Chris",R,R,Chris Stewart,"Stewart, Chris",9575,Chris Stewart,12564,Chris Stewart,4541,
stewaia01,Ian Stewart,"Apr 5, 1985",Ian,Stewart,LAA,AL,3B,5950,Ian Stewart,456655,Ian Stewart,584808,Ian Stewart,stewi001,stewaia01,7993,Ian Stewart,28722,Ian Stewart,,STEWART19850405A,45480,7993,Ian Stewart,"Stewart, Ian",L,R,Ian Stewart,"Stewart, Ian",,,,,1158,
stewako01,Kohl Stewart,"Oct 7, 1994",Kohl,Stewart,MIN,AL,P,sa737436,Kohl Stewart,640464,Kohl Stewart,,,,,,,33219,Kohl Stewart,,,,,,"Stewart, Kohl",R,R,,"Stewart, Kohl",,,,,18262,
stinsjo01,Josh Stinson,"Mar 14, 1988",Josh,Stinson,N/A,N/A,P,3219,Josh Stinson,502139,Josh Stinson,1741013,Josh Stinson,stinj001,stinsjo01,9043,Josh Stinson,30614,Josh Stinson,,STINSON19880314A,50146,9043,Josh Stinson,"Stinson, Josh",R,R,,"Stinson, Josh",,,,,3713,
storedr01,Drew Storen,"Aug 11, 1987",Drew,Storen,SEA,AL,P,6983,Drew Storen,519322,Drew Storen,1724102,Drew Storen,stord001,storedr01,8618,Drew Storen,30534,Drew Storen,,STOREN19870801A,59345,8618,Drew Storen,"Storen, Drew",B,R,Drew Storen,"Storen, Drew",10963,,,Drew Storen,5226,3327
storemi01,Mickey Storey,"Mar 16, 1986",Mickey,Storey,N/A,N/A,P,4721,Mickey Storey,493547,Mickey Storey,2000126,Mickey Storey,storm001,storemi01,9257,Mickey Storey,32564,Mickey Storey,,STOREY19860316A,58708,9257,Mickey Storey,"Storey, Mickey",R,R,,"Storey, Mickey",,,,,8669,
storytr01,Trevor Story,"Nov 15, 1982",Trevor,Story,COL,NL,SS,12564,Trevor Story,596115,Trevor Story,1945488,,,storytr01,9571,,,,,,70406,,,,R,R,Trevor Story,"Story, Trevor",,Trevor Story,52158,Trevor Story,,
strahma01,Matt Strahm,"Nov 12, 1991",Matt,Strahm,KC,AL,P,13799,Matt Strahm,621381,Matt Strahm,,,,strahma01,,,34862,Matt Strahm,,,,,,,R,L,,"Strahm, Matt",,,,,,
straida01,Dan Straily,"Dec 1, 1988",Dan,Straily,CIN,NL,P,9460,Dan Straily,573185,Dan Straily,1988996,Dan Straily,strad003,straida01,9255,Daniel Straily,32563,Dan Straily,,STRAILY19881201A,60921,9255,Dan Straily,"Straily, Dan",R,R,,"Straily, Dan",12417,Dan Straily,23409,Dan Straily,8538,
strasst01,Stephen Strasburg,"Jul 20, 1988",Stephen,Strasburg,WAS,NL,P,10131,Stephen Strasburg,544931,Stephen Strasburg,1675980,Stephen Strasburg,stras001,strasst01,8562,Stephen Strasburg,30373,Stephen Strasburg,,STRASBURG19880720A,61056,8562,Stephen Strasburg,"Strasburg, Stephen",R,R,Stephen Strasburg,"Strasburg, Stephen",10855,Stephen Strasburg,10978,Stephen Strasburg,5219,3371
streehu01,Huston Street,"Aug 2, 1983",Huston,Street,LAA,AL,P,8258,Huston Street,434718,Huston Street,546345,Huston Street,streh001,streehu01,7468,Huston Street,6175,Huston Street,,STREET19830802A,45588,7468,Huston Street,"Street, Huston",R,R,Huston Street,"Street, Huston",8323,,,Huston Street,7099,1224
strichu01,Hunter Strickland,"Sep 24, 1988",Hunter,Strickland,SF,NL,P,7836,Hunter Strickland,519326,Hunter Strickland,2027413,Hunter Strickland,strih001,strichu01,9809,Hunter Strickland,32589,Hunter Strickland,,STRICKLAN19880924A,57557,9809,Hunter Strickland,"Strickland, Hunter",R,R,Hunter Strickland,"Strickland, Hunter",,Hunter Strickland,38251,Hunter Strickland,8257,4745
stripro01,Ross Stripling,"Nov 23, 1989",Ross,Stripling,LAD,NL,P,13273,Ross Stripling,548389,Ross Stripling,2044533,,,stripro01,10258,,32789,Ross Stripling,,,70826,,,,R,R,,"Stripling, Ross",,Ross Stripling,38311,Ross Stripling,,
stromma01,Marcus Stroman,"May 1, 1991",Marcus,Stroman,TOR,AL,P,13431,Marcus Stroman,573186,Marcus Stroman,2001082,Marcus Stroman,strom001,stromma01,9637,Marcus Stroman,32815,Marcus Stroman,,STROMAN19910501A,70371,9637,Marcus Stroman,"Stroman, Marcus",R,R,Marcus Stroman,"Stroman, Marcus",12456,Marcus Stroman,39041,Marcus Stroman,18184,4571
stroppe01,Pedro Strop,"Jun 13, 1985",Pedro,Strop,CHC,NL,P,4070,Pedro Strop,467008,Pedro Strop,1392909,Pedro Strop,strop001,stroppe01,8565,Pedro Strop,29763,Pedro Strop,,STROP19850613A,46719,8565,Pedro Strop,"Strop, Pedro",R,R,Pedro Strop,"Strop, Pedro",10283,Pedro Strop,6257,Pedro Strop,2298,3329
sttuemi01,Michael Stutes,"Sep 4, 1986",Michael,Stutes,N/A,N/A,P,6550,Michael Stutes,452741,Michael Stutes,1741616,Michael Stutes,stutm001,sttuemi01,8912,Michael Stutes,30886,Michael Stutes,,STUTES19860904A,55135,8912,Michael Stutes,"Stutes, Michael",R,R,,"Stutes, Michael",,,,,5104,
stubbdr01,Drew Stubbs,"Oct 4, 1984",Drew,Stubbs,BAL,AL,OF,9328,Drew Stubbs,453211,Drew Stubbs,1114754,Drew Stubbs,stubd001,stubbdr01,8528,Drew Stubbs,29611,Drew Stubbs,Drew Stubbs,STUBBS19841004A,51938,8528,Drew Stubbs,"Stubbs, Drew",R,R,Drew Stubbs,"Stubbs, Drew",9280,Drew Stubbs,5513,Drew Stubbs,2996,
stulter01,Eric Stults,"Dec 9, 1979",Eric,Stults,N/A,N/A,P,8011,Eric Stults,445590,Eric Stults,593276,Eric Stults,stule002,stulter01,7869,Eric Stults,28591,Eric Stults,,STULTS19791209A,43330,7869,Eric Stults,"Stults, Eric",L,L,,"Stults, Eric",9514,Eric Stults,6180,Eric Stults,547,
suareeu01,Eugenio Suarez,"Jul 18, 1991",Eugenio,Suarez,CIN,NL,3B,12552,Eugenio Suarez,553993,Eugenio Suarez,1960254,Eugenio Suarez,suare001,suareeu01,9724,Eugenio Suarez,32367,Eugenio Suarez,,SUAREZ19910718A,66110,9724,Eugenio Suarez,"Suarez, Eugenio",R,R,Eugenio Suarez,"Suarez, Eugenio",,Eugenio Suarez,21633,Eugenio Suarez,9668,4583
susacan01,Andrew Susac,"Mar 22, 1990",Andrew,Susac,MIL,NL,C,13132,Andrew Susac,572180,Andrew Susac,1937573,Andrew Susac,susaa001,susacan01,9131,Andrew Susac,32062,Andrew Susac,,SUSAC19900322A,70779,9131,Andrew Susac,"Susac, Andrew",R,R,,"Susac, Andrew",,Andrew Susac,17024,Andrew Susac,18336,
suzukic01,Ichiro Suzuki,"Oct 22, 1973",Ichiro,Suzuki,MIA,NL,OF,1101,Ichiro Suzuki,400085,Ichiro Suzuki,211807,Ichiro Suzuki,suzui001,suzukic01,6615,Ichiro Suzuki,4570,Ichiro Suzuki,Ichiro Suzuki,SUZUKI19731022A,1184,6615,Ichiro Suzuki,"Suzuki, Ichiro",L,R,Ichiro Suzuki,"Suzuki, Ichiro",6560,Ichiro Suzuki,5373,Ichiro Suzuki,15212,
suzukku01,Kurt Suzuki,"Oct 4, 1983",Kurt,Suzuki,MIN,AL,C,8259,Kurt Suzuki,435559,Kurt Suzuki,546504,Kurt Suzuki,suzuk001,suzukku01,8052,Kurt Suzuki,28802,Kurt Suzuki,Kurt Suzuki,SUZUKI19831004A,49076,8052,Kurt Suzuki,"Suzuki, Kurt",R,R,Kurt Suzuki,"Suzuki, Kurt",8276,Kurt Suzuki,5311,Kurt Suzuki,1051,2568
swansda01,Dansby Swanson,"Feb 11, 1994",Dansby,Swanson,ATL,NL,SS,18314,Dansby Swanson,621020,Dansby Swanson,2184343,,,swansda01,10234,,34895,Dansby Swanson,,,107168,,,,R,R,,"Swanson, Dansby",,,,,,
swarzan01,Anthony Swarzak,"Sep 10, 1985",Anthony,Swarzak,NYY,AL,P,7466,Anthony Swarzak,461872,Anthony Swarzak,1102983,Anthony Swarzak,swara001,swarzan01,8479,Anthony Swarzak,30153,Anthony Swarzak,,SWARZAK19850910A,46761,8479,Anthony Swarzak,"Swarzak, Anthony",R,R,,"Swarzak, Anthony",,Anthony Swarzak,5214,,3247,
sweenda02,Darnell Sweeney,"Feb 1, 1991",Darnell,Sweeney,LAD,NL,OF,13284,Darnell Sweeney,572182,Darnell Sweeney,2048790,,,sweenda02,10053,,32908,Darnell Sweeney,,,100009,,,,B,R,,"Sweeney, Darnell",,,,,18434,
sweenry01,Ryan Sweeney,"Feb 20, 1985",Ryan,Sweeney,CHC,NL,OF,6352,Ryan Sweeney,435220,Ryan Sweeney,489807,Ryan Sweeney,sweer001,sweenry01,7858,Ryan Sweeney,28578,Ryan Sweeney,Ryan Sweeney,SWEENEY19850220A,45481,7858,Ryan Sweeney,"Sweeney, Ryan",L,L,Ryan Sweeney,"Sweeney, Ryan",,,,,892,
swihabl01,Blake Swihart,"Apr 3, 1992",Blake,Swihart,BOS,AL,OF,13176,Blake Swihart,596119,Blake Swihart,1894641,Blake Swihart,,swihabl01,9549,Blake Swihart,32123,Blake Swihart,,,70407,9549,Blake Swihart,"Swihart, Blake",B,R,Blake Swihart,"Swihart, Blake",12138,Blake Swihart,38595,Blake Swihart,18134,
swindr.01,R.J. Swindle,"Jul 7, 1983",R.J.,Swindle,N/A,N/A,P,539,R.J. Swindle,449881,R.J. Swindle,1426548,R.J. Swindle,swinr001,swindrj01,,,,,,SWINDLE19830707A,52287,,,"Swindle, R.J.",L,L,,"Swindle, R.J.",,,,,16495,
swishni01,Nick Swisher,"Nov 25, 1980",Nick,Swisher,ATL,NL,OF,4599,Nick Swisher,430897,Nick Swisher,392256,Nick Swisher,swisn001,swishni01,7435,Nick Swisher,5937,Nick Swisher,Nick Swisher,SWISHER19801125A,31623,7435,Nick Swisher,"Swisher, Nick",B,L,Nick Swisher,"Swisher, Nick",7152,Nick Swisher,5391,Nick Swisher,15208,
syndeno01,Noah Syndergaard,"Aug 29, 1992",Noah,Syndergaard,NYM,NL,P,11762,Noah Syndergaard,592789,Noah Syndergaard,1757988,Noah Syndergaard,,syndeno01,9597,Noah Syndergaard,31730,Noah Syndergaard,,,67132,9597,Noah Syndergaard,"Syndergaard, Noah",L,R,Noah Syndergaard,"Syndergaard, Noah",11632,Noah Syndergaard,52172,Noah Syndergaard,14402,4472
szczuma01,Matt Szczur,"Jul 20, 1989",Matt,Szczur,CHC,NL,OF,11255,Matt Szczur,519333,Matt Szczur,1757995,,,szczuma01,9791,,31337,Matt Szczur,,,65918,,,,R,R,,"Szczur, Matt",,Matt Szczur,13724,,14606,
tabatjo01,Jose Tabata,"Aug 12, 1988",Jose,Tabata,LAD,NL,OF,2411,Jose Tabata,467798,Jose Tabata,1099004,Jose Tabata,tabaj002,tabatjo01,8647,Jose Tabata,29469,Jose Tabata,Jose Tabata,TABATA19880812A,49082,8647,Jose Tabata,"Tabata, Jose",R,R,Jose Tabata,"Tabata, Jose",,Jose Tabata,12307,,2174,
taillja01,Jameson Taillon,"Nov 18, 1991",Jameson,Taillon,PIT,NL,P,11674,Jameson Taillon,592791,Jameson Taillon,1765806,Jameson Taillon,,taillja01,9123,Jameson Taillon,31258,Jameson Taillon,,,68694,9123,Jameson Taillon,"Taillon, Jameson",R,R,Jameson Taillon,"Taillon, Jameson",11435,,,,,
takahhi01,Hisanori Takahashi,"Apr 2, 1975",Hisanori,Takahashi,N/A,N/A,P,10091,Hisanori Takahashi,538227,Hisanori Takahashi,1735874,Hisanori Takahashi,takah001,takahhi01,8688,Hisanori Takahashi,,,,TAKAHASHI00000000B,43454,8688,Hisanori Takahashi,"Takahashi, Hisanori",L,L,,"Takahashi, Hisanori",,,,,15524,
talbomi01,Mitch Talbot,"Oct 17, 1983",Mitch,Talbot,N/A,N/A,P,4961,Mitch Talbot,452676,Mitch Talbot,1099005,Mitch Talbot,talbm001,talbomi01,,,,,,TALBOT19831017A,49093,,,"Talbot, Mitch",R,R,,"Talbot, Mitch",,,,,1001,
tanakma01,Masahiro Tanaka,"Nov 1, 1988",Masahiro,Tanaka,NYY,AL,P,15764,Masahiro Tanaka,547888,Masahiro Tanaka,2114443,Masahiro Tanaka,tanam001,tanakama01,9642,Masahiro Tanaka,33150,Masahiro Tanaka,,TANAKA19881101A,59473,9642,Masahiro Tanaka,"Tanaka, Masahiro",R,R,Masahiro Tanaka,"Tanaka, Masahiro",10879,Masahiro Tanaka,52268,Masahiro Tanaka,18294,4514
tatedi01,Dillon Tate,"May 1, 1994",Dillon,Tate,NYY,AL,P,sa874239,Dillon Tate,622253,Dillon Tate,,,,tatedi01,,,34950,Dillon Tate,,,,,,,R,R,,"Tate, Dillon",,,,,18483,
tateyyo01,Yoshinori Tateyama,"Dec 26, 1975",Yoshinori,Tateyama,N/A,N/A,P,11651,Yoshinori Tateyama,599899,Yoshinori Tateyama,1786404,Yoshinori Tateyama,tatey001,tateyyo01,8844,Yoshinori Tateyama,,,,TATEYAMA00000000A,43538,8844,Yoshinori Tateyama,"Tateyama, Yoshinori",R,R,,"Tateyama, Yoshinori",,,,,,
taveros01,Oscar Taveras,"Jun 19, 1992",Oscar,Taveras,STL,NL,OF,11173,Oscar Taveras,570805,Oscar Taveras,1804467,Oscar Taveras,taveo001,taveros01,9297,Oscar Taveras,31207,Oscar Taveras,Oscar Taveras,TAVERAS19920619A,66418,9297,Oscar Taveras,"Taveras, Oscar",L,L,,"Taveras, Oscar",,,,,9946,
tayloan01,Andrew Taylor,"Aug 18, 1986",Andrew,Taylor,N/A,N/A,P,7896,Andrew Taylor,476531,Andrew Taylor,1735058,Andrew Taylor,tayla002,tayloan01,9289,Andrew Taylor,30568,Andrew Taylor,,TAYLOR19860818A,58730,9289,Andrew Taylor,"Taylor, Andrew",R,L,,"Taylor, Andrew",,,,,4726,
tayloch03,Chris Taylor,"Aug 29, 1990",Chris,Taylor,LAD,NL,3B,13757,Chris Taylor,621035,Chris Taylor,2048496,Chris Taylor,taylc001,tayloch03,9771,Chris Taylor,32900,Chris Taylor,,,100496,9771,Chris Taylor,"Taylor, Chris",R,R,Chris Taylor,"Taylor, Chris",12892,Chris Taylor,38561,Chris Taylor,18341,
